"Name" "MC" "MP"
"Bitcoin" "1,333,844,103,581" "54%"
"Ethereum" "458,945,477,099" "19%"
"Tether" "111,862,725,225" "5%"
"BNB" "88,328,161,816" "4%"
"Solana" "74,859,901,790" "3%"
"USDC" "32,496,060,634" "1%"
"XRP" "29,245,021,413" "1%"
"Dogecoin" "23,556,875,547" "1%"
"Toncoin" "22,348,461,119" "1%"
"Cardano" "16,268,799,872" "1%"
"Shiba Inu" "15,287,331,662" "1%"
"Avalanche" "14,446,453,938" "1%"
"Chainlink" "10,648,678,074" "0%"
"Polkadot" "10,556,896,321" "0%"
"TRON" "9,709,527,639" "0%"
"Bitcoin Cash" "9,143,317,302" "0%"
"NEAR Protocol" "8,172,540,759" "0%"
"Polygon" "7,212,780,004" "0%"
"Pepe" "6,725,653,413" "0%"
"Uniswap" "6,517,125,029" "0%"
"Litecoin" "6,168,156,291" "0%"
"Internet Computer" "5,581,758,629" "0%"
"UNUS SED LEO" "5,534,571,758" "0%"
"Dai" "5,346,756,057" "0%"
"Ethereum Classic" "4,551,891,344" "0%"
"Aptos" "4,150,101,149" "0%"
"Render" "3,872,320,593" "0%"
"Hedera" "3,708,378,412" "0%"
"dogwifhat" "3,572,009,179" "0%"
"Arbitrum" "3,451,594,836" "0%"
"Immutable" "3,400,620,818" "0%"
"Cosmos" "3,359,789,906" "0%"
"Kaspa" "3,327,132,212" "0%"
"Mantle" "3,313,022,471" "0%"
"Filecoin" "3,267,180,622" "0%"
"Cronos" "3,120,009,735" "0%"
"Stellar" "3,119,616,766" "0%"
"First Digital USD" "2,992,606,686" "0%"
"The Graph" "2,951,938,580" "0%"
"Stacks" "2,872,964,916" "0%"
"Bittensor" "2,858,188,024" "0%"
"OKB" "2,817,191,913" "0%"
"FLOKI" "2,819,039,173" "0%"
"Bonk" "2,732,480,492" "0%"
"Optimism" "2,725,187,195" "0%"
"Monero" "2,601,564,421" "0%"
"VeChain" "2,585,219,943" "0%"
"Maker" "2,512,406,464" "0%"
"Arweave" "2,510,134,954" "0%"
"Sui" "2,417,079,173" "0%"
"Injective" "2,356,351,166" "0%"
"Theta Network" "2,261,912,745" "0%"
"Fantom" "2,256,495,620" "0%"
"THORChain" "2,227,419,346" "0%"
"Lido DAO" "2,121,167,084" "0%"
"Celestia" "2,058,185,291" "0%"
"Fetch.ai" "1,879,122,474" "0%"
"Core" "1,842,077,824" "0%"
"Bitget Token" "1,733,369,004" "0%"
"Ondo" "1,703,526,329" "0%"
"Pyth Network" "1,578,867,365" "0%"
"Sei" "1,571,263,296" "0%"
"Algorand" "1,559,528,293" "0%"
"Aave" "1,555,713,990" "0%"
"Jupiter" "1,548,732,567" "0%"
"Starknet" "1,407,048,498" "0%"
"Flow" "1,401,619,372" "0%"
"Beam" "1,398,302,500" "0%"
"Gala" "1,395,466,695" "0%"
"Ethena" "1,358,546,618" "0%"
"Chiliz" "1,300,630,239" "0%"
"JasmyCoin" "1,277,631,136" "0%"
"Akash Network" "1,242,154,259" "0%"
"Bitcoin SV" "1,228,416,986" "0%"
"SingularityNET" "1,186,356,918" "0%"
"dYdX (Native)" "1,158,077,882" "0%"
"BitTorrent (New)" "1,146,116,348" "0%"
"Flare" "1,111,727,648" "0%"
"Axie Infinity" "1,110,513,994" "0%"
"Quant" "1,094,640,069" "0%"
"Neo" "1,075,454,690" "0%"
"MultiversX" "1,055,992,910" "0%"
"Wormhole" "1,048,019,555" "0%"
"Worldcoin" "1,031,910,812" "0%"
"BOOK OF MEME" "1,026,187,940" "0%"
"Ronin" "1,020,275,837" "0%"
"The Sandbox" "1,001,535,000" "0%"
"KuCoin Token" "990,542,487" "0%"
"Pendle" "980,729,135" "0%"
"Synthetix" "980,228,750" "0%"
"Tezos" "947,921,158" "0%"
"eCash" "942,669,919" "0%"
"Notcoin" "921,430,517" "0%"
"Mina" "925,773,876" "0%"
"EOS" "907,374,201" "0%"
"Gnosis" "901,689,449" "0%"
"Conflux" "889,961,924" "0%"
"AIOZ Network" "865,641,682" "0%"
"Decentraland" "857,704,685" "0%"
"ORDI" "842,684,667" "0%"
